date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:50:22	753427/753427	---M--	200	added ('OK')	image/jpeg	etag:%225380e99-b7f13-5b2bea972b8d5%22	http://pxdraft.com/pxdemo/softon/static/img/about-3.jpg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/about-3.jpg	(from http://pxdraft.com/pxdemo/softon/index-02.html)
14:50:30	807297/807297	---M--	200	added ('OK')	image/jpeg	etag:%225380e9b-c5181-5b2bea987718e%22	http://pxdraft.com/pxdemo/softon/static/img/about-5.jpg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/about-5.jpg	(from http://pxdraft.com/pxdemo/softon/index-02.html)
14:50:45	113407/113407	---M--	200	added ('OK')	image/jpeg	etag:%225380ec8-1baff-5b2beab65f270%22	http://pxdraft.com/pxdemo/softon/static/img/project-3.jpg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/project-3.jpg	(from http://pxdraft.com/pxdemo/softon/index-02.html)
14:51:15	473526/473526	---M--	200	added ('OK')	image/jpeg	etag:%225380ec5-739b6-5b2beab58e2aa%22	http://pxdraft.com/pxdemo/softon/static/img/project-1.jpg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/project-1.jpg	(from http://pxdraft.com/pxdemo/softon/index-02.html)
14:51:19	256867/256867	---M--	200	added ('OK')	image/jpeg	etag:%225380ec7-3eb63-5b2beab756396%22	http://pxdraft.com/pxdemo/softon/static/img/project-4.jpg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/project-4.jpg	(from http://pxdraft.com/pxdemo/softon/index-02.html)
14:51:23	334045/334045	---M--	200	added ('OK')	image/jpeg	etag:%225380ec6-518dd-5b2beab5afdbb%22	http://pxdraft.com/pxdemo/softon/static/img/project-2.jpg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/project-2.jpg	(from http://pxdraft.com/pxdemo/softon/index-02.html)
14:51:24	269/269	---M--	200	added ('OK')	image/svg+xml	etag:%225382051-10d-5b2beac2d367c%22	http://pxdraft.com/pxdemo/softon/static/img/effect/divider-1.svg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/effect/divider-1.svg	(from http://pxdraft.com/pxdemo/softon/index-03.html)
14:51:26	55466/55466	---M--	200	added ('OK')	image/jpeg	etag:%225380e9f-d8aa-5b2bea9a30431%22	http://pxdraft.com/pxdemo/softon/static/img/avatra-1.jpg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/avatra-1.jpg	(from http://pxdraft.com/pxdemo/softon/index-02.html)
14:51:43	315069/315069	---M--	200	added ('OK')	image/jpeg	etag:%2253811cb-4cebd-5b2beab849a25%22	http://pxdraft.com/pxdemo/softon/static/img/project-5.jpg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/project-5.jpg	(from http://pxdraft.com/pxdemo/softon/index-02.html)
14:53:04	510594/510594	---M--	200	added ('OK')	image/jpeg	etag:%225380ea4-7ca82-5b2beaa279db9%22	http://pxdraft.com/pxdemo/softon/static/img/blog-4.jpg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/blog-4.jpg	(from http://pxdraft.com/pxdemo/softon/index-04.html)
14:53:05	300/300	---M--	200	added ('OK')	image/svg+xml	etag:%225382052-12c-5b2beac2e47ec%22	http://pxdraft.com/pxdemo/softon/static/img/effect/divider-2.svg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/effect/divider-2.svg	(from http://pxdraft.com/pxdemo/softon/index-06.html)
14:53:33	575637/575637	---M--	200	added ('OK')	image/jpeg	etag:%225380e98-8c895-5b2bea95f1575%22	http://pxdraft.com/pxdemo/softon/static/img/about-2.jpg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/about-2.jpg	(from http://pxdraft.com/pxdemo/softon/index-05.html)
14:53:34	163710/163710	---M--	200	added ('OK')	image/png	etag:%225380ec3-27f7e-5b2beab2259a3%22	http://pxdraft.com/pxdemo/softon/static/img/mack-book.png	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/mack-book.png	(from http://pxdraft.com/pxdemo/softon/index-06.html)
14:53:45	58530/58530	---M--	200	added ('OK')	image/png	etag:%225380eb8-e4a2-5b2beaaaf9e5b%22	http://pxdraft.com/pxdemo/softon/static/img/home-3-f2.png	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/home-3-f2.png	(from http://pxdraft.com/pxdemo/softon/index-06.html)
14:53:48	78121/78121	---M--	200	added ('OK')	image/png	etag:%225380eb7-13129-5b2beaaa2c545%22	http://pxdraft.com/pxdemo/softon/static/img/home-3-f1.png	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/home-3-f1.png	(from http://pxdraft.com/pxdemo/softon/index-06.html)
14:54:31	257492/257492	---M--	200	added ('OK')	image/jpeg	etag:%2253811ce-3edd4-5b2beab9d90cf%22	http://pxdraft.com/pxdemo/softon/static/img/ss1.jpg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/ss1.jpg	(from http://pxdraft.com/pxdemo/softon/index-06.html)
14:54:34	261846/261846	---M--	200	added ('OK')	image/jpeg	etag:%225381fc5-3fed6-5b2beaba0c521%22	http://pxdraft.com/pxdemo/softon/static/img/ss2.jpg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/ss2.jpg	(from http://pxdraft.com/pxdemo/softon/index-06.html)
14:54:36	7647/7647	---M--	200	added ('OK')	image/svg+xml	etag:%225380eb5-1ddf-5b2beaa8b071b%22	http://pxdraft.com/pxdemo/softon/static/img/home-1.svg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/home-1.svg	(from http://pxdraft.com/pxdemo/softon/index-07.html)
14:54:38	9955/9955	---M--	200	added ('OK')	image/svg+xml	etag:%225380eb0-26e3-5b2beaa726279%22	http://pxdraft.com/pxdemo/softon/static/img/features-1.svg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/features-1.svg	(from http://pxdraft.com/pxdemo/softon/index-07.html)
14:55:02	151588/151588	---M--	200	added ('OK')	image/jpeg	etag:%225382044-25024-5b2beaba754d3%22	http://pxdraft.com/pxdemo/softon/static/img/ss3.jpg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/ss3.jpg	(from http://pxdraft.com/pxdemo/softon/index-06.html)
14:55:03	16019/16019	---M--	200	added ('OK')	image/svg+xml	etag:%225380eaa-3e93-5b2beaa5c2af0%22	http://pxdraft.com/pxdemo/softon/static/img/feature-3.svg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/feature-3.svg	(from http://pxdraft.com/pxdemo/softon/index-07.html)
14:55:04	8660/8660	---M--	200	added ('OK')	image/svg+xml	etag:%225380eb6-21d4-5b2beaa931d6f%22	http://pxdraft.com/pxdemo/softon/static/img/home-2.svg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/home-2.svg	(from http://pxdraft.com/pxdemo/softon/index-08.html)
14:55:05	3176/3176	---M--	200	added ('OK')	image/svg+xml	etag:%225380e9c-c68-5b2bea98da768%22	http://pxdraft.com/pxdemo/softon/static/img/airbnb.svg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/airbnb.svg	(from http://pxdraft.com/pxdemo/softon/index-08.html)
14:55:06	1198106/1198106	---M--	200	added ('OK')	image/jpeg	etag:%225380ebd-12481a-5b2beaafa5f32%22	http://pxdraft.com/pxdemo/softon/static/img/home-banner-1.jpg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/home-banner-1.jpg	(from http://pxdraft.com/pxdemo/softon/index-05.html)
14:55:06	3434/3434	---M--	200	added ('OK')	image/svg+xml	etag:%225380e9d-d6a-5b2bea9934cbb%22	http://pxdraft.com/pxdemo/softon/static/img/amazon.svg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/amazon.svg	(from http://pxdraft.com/pxdemo/softon/index-08.html)
14:55:07	3588/3588	---M--	200	added ('OK')	image/svg+xml	etag:%225380ec4-e04-5b2beab28c246%22	http://pxdraft.com/pxdemo/softon/static/img/paypal.svg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/paypal.svg	(from http://pxdraft.com/pxdemo/softon/index-08.html)
14:55:08	149186/149186	---M--	200	added ('OK')	image/jpeg	etag:%225380e96-246c2-5b2bea9434451%22	http://pxdraft.com/pxdemo/softon/static/img/500x500-1.jpg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/500x500-1.jpg	(from http://pxdraft.com/pxdemo/softon/index-07.html)
14:55:08	4784/4784	---M--	200	added ('OK')	image/svg+xml	etag:%2253811cc-12b0-5b2beab7b7e19%22	http://pxdraft.com/pxdemo/softon/static/img/slack.svg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/slack.svg	(from http://pxdraft.com/pxdemo/softon/index-08.html)
